supplier_code,name,price,barcode
"045802","COTTON HAT WINE - On Special","2.2500","4982790458024"
"045803","COTTON HAT WHITE - On Special","2.2500","4982790458031"
"066719","RUBBER HAND GLOVES THIN M PINK","2.1000","4904510667196 "
"066720","RUBBER HAND GLOVES THIN  M BLUE","2.1000","4904510667202 "
"066721","RUBBER HAND GLOVES THIN L BLUE","2.1000","4904510667219 "
"080453","PLASTIC DE-ORDORIZER FOR FRIDGE 200g-CHACOAL","2.7500","4956810804535"
"080454","PLASTIC DE-ORDORIZER FOR VEGETABLE BOX 200gCHACOAL","2.7500","4956810804542"
"080556","HDPE SPRAY BOTTLE 420 ML","5.3500","4546490805566 "
"096433","POLYESTER BLANKET STORAGE BAG (6433)","0.9500","4956810964338"
"096434","POLYESTER FREE STORAGE BAG 50x45x28.5CM (6434)","0.9500","4956810964345"
"0Freight","Number of Carton","0.0000","6911"
"100854","WORD CARD 103*31mm 2PC","1.7500","4977451008540 "
"1034B","Mini Basket - 260x180x130mm","1.1000","9555070700103"
"1407","7"" Plate","0.7000","9555070709021"
"1409","9"" Plate","0.9000","9555070709045"
"1507","7"" Deep Plate","0.7000","9555070709083"
"164177","1PC BUTTON BATTERY - CR1620","1.8500","4902901641770 "
"164178","1PC BUTTON BATTERY - CR2016","1.8500","4902901641787"
"164179","1PC BUTTON BATTERY - CR2025","1.8500","4902901641794"
"164180","1PC BUTTON BATTERY - CR2032","1.8500","4902901641800 "
"172975","1PC BUTTON BATTERY - CR1632","1.8500","4902901729751"
"190115","BEACH MAT W/PLASTIC BOTTOM 2x2M","10.0000","190115"
"199711","STAINLESS STEEL LONG SCISSORS 25cm","2.3000","4934481997114"
"199724","STAINLESS STEEL EGG RING HEART (0336-065)","0.8500","4934481997244"
"199726","STAINLESS STEEL EGG RING CIRCLE (0336-064)","0.8500","4934481997268"
"199735","MELAMINE ASH TRAY(CIRCLE) - BLACK","2.1500","4934481997350 "
"20130917","20130917","0.0000","7133"
"20130924","20130924","0.0000","7268"
"20140902","20140902","0.0000","9148"
"20140909","20140909","0.0000","9206"
"20140911","20140911","0.0000","9227"
"20140926 UBL Halloween","UBL Halloween Product","0.0000","9665"
"20140929 Nothing Over $1 Toys","A Selection of Toys at Low Low Prices","0.0000","9630"
"20140930","20140930","0.0000","9675"
"20141006","20141006","0.0000","9721"
"20141014 UBL","UBL Product","0.0000","9724"
"20141020","20141020","0.0000","9800"
"20141021","20141021","0.0000","9808"
"20141022","20141022","0.0000","9899"
"20141029","20141029","0.0000","10037"
"20141104","20141104","0.0000","10103"
"20141111","20141111","0.0000","10118"
"20141118","20141118","0.0000","10156"
"20141124","20141124","0.0000","10216"
"20141125","20141125","0.0000","10209"
"20141129","20141129","0.0000","10295"
"20141130","20141130","0.0000","10296"
"20141201","20141201","0.0000","10382"
"20141208","20141208","0.0000","10395"
"20141209","20141209","0.0000","10396"
"20141215","20141215","0.0000","10422"
"20141219","20141219","0.0000","10433"
"20150112","20150112","0.0000","10555"
"20150113","20150113","0.0000","10559"
"20150128","20150128","0.0000","10630"
"20150202","20150202","0.0000","10679"
"20150217","20150217","0.0000","10717"
"20150222","20150222","0.0000","10776"
"20150223","20150223","0.0000","10761"
"20150307","20150307","0.0000","10788"
"20150413","20150413","0.0000","10858"
"20150420","20150420","0.0000","10900"
"20150428","20150428","0.0000","10907"
"20150510","20150510","0.0000","11006"
"20150511","20150511","0.0000","11069"
"20150525","20150525","0.0000","11103"
"20150601","20150601","0.0000","11135"
"20150608","20150608","0.0000","11157"
"20150622","20150622","0.0000","11214"
"20150629","20150629","0.0000","11225"
"20150712","20150712","0.0000","11287"
"20150714","20150714","0.0000","11312"
"20150727","20150727","0.0000","11333"
"20150803","20150803","0.0000","11360"
"20150804","20150804","0.0000","11361"
"20150823","20150823","0.0000","11427"
"20150824","20150824","0.0000","11431"
"20150905","20150905","0.0000","11520"
"20150907","20150907","0.0000","11533"
"20150914","20150914","0.0000","11573"
"20150921","20150921","0.0000","11605"
"20151012","20151012","0.0000","11962"
"20151015","UBL Xmas","0.0000","12281"
"20151018","20151018","0.0000","12284"
"20151019","20151019","0.0000","12286"
"20151102","20151102","0.0000","12345"
"20151109","20151109","0.0000","12348"
"20151111","20151111","0.0000","12386"
"20151118","20151118","0.0000","12389"
"20151122","20151122","0.0000","12402"
"20151123","20151123","0.0000","12422"
"20151130","20151130","0.0000","12464"
"20151201","20151201","0.0000","12481"
"20151206","20151206","0.0000","12542"
"20151207","20151207","0.0000","12554"
"20151214","20151214","0.0000","12642"
"20160110","20160110","0.0000","12658"
"20160111","20160111","0.0000","12667"
"20160131","20160131","0.0000","12692"
"20160201","20160201","0.0000","12694"
"20160221","20160221","0.0000","12871"
"20160228","20160228","0.0000","12878"
"20160307","20160307","0.0000","12915"
"20160328","20160328","0.0000","12925"
"20160403","20160403","0.0000","12931"
"20160404","20160404","0.0000","12963"
"20160417","20160417","0.0000","12985"
"20160418","20160418","0.0000","12986"
"20160502","20160502","0.0000","13021"
"20160508","20160508","0.0000","13050"
"20160522","20160522","0.0000","13141"
"20160605","20160605","0.0000","13184"
"20160606","20160606","0.0000","13187"
"20160620","20160620","0.0000","13270"
"20160627","20160627","0.0000","15192"
"20160704","20160704","0.0000","15207"
"20160711","20160711","0.0000","15278"
"20160718","20160718","0.0000","15287"
"20160731","20160731","0.0000","15344"
"20160801","20160801","0.0000","15412"
"20160815","20160815","0.0000","15426"
"20160822","20160822","0.0000","15493"
"20160828","20160828","0.0000","15501"
"20160829","20160829","0.0000","15502"
"20160901","20160901","0.0000","15552"
"20160911","20160911","0.0000","15577"
"20160912","20160912","0.0000","15630"
"20160926","20160926","0.0000","15743"
"20161003","20161003","0.0000","15809"
"20161010","20161010","0.0000","16272"
"20161011","20161011","0.0000","16290"
"20161014","20161014","0.0000","16118"
"20161017","20161017","0.0000","16323"
"20161024","20161024","0.0000","16391"
"20161107","20161107","0.0000","16461"
"20161108","20161108","0.0000","16476"
"20161112","20161112","0.0000","16529"
"20161121","20161121","0.0000","16616"
"20161126","20161126","0.0000","16647"
"20161127","20161127","0.0000","16650"
"20161128","20161128","0.0000","16719"
"20161203","20161203","0.0000","16725"
"20161204","20161204","0.0000","16749"
